Price,Close,High,Low,Open,Volume
Ticker,CAMS.NS,CAMS.NS,CAMS.NS,CAMS.NS,CAMS.NS
Date,,,,,
2020-10-05,1302.338623046875,1383.7463792878025,1274.0874989950148,1319.6238136928673,638095
2020-10-06,1319.0667724609375,1339.9298019979528,1302.199720388124,1310.3312083834112,542573
2020-10-07,1283.7989501953125,1323.0160131663802,1259.9156598115128,1320.5533118880028,283115
2020-10-08,1240.5399169921875,1291.6985283650044,1231.525513040878,1287.0984745006197,287027
2020-10-09,1242.3052978515625,1274.2735648819832,1203.4599805169653,1232.3615836155989,617512
2020-10-12,1218.3291015625,1252.2490193405558,1213.450209279355,1247.1377988534516,406272
2020-10-13,1216.6561279296875,1234.1272518719406,1203.506444124154,1208.1064965613878,177612
2020-10-14,1250.2974853515625,1258.7076982715723,1215.5411633443925,1215.5411633443925,231831
2020-10-15,1238.0770263671875,1264.3766250154677,1235.1032706671347,1251.7378796864728,152760
2020-10-16,1246.626220703125,1253.6425755276246,1232.1289682407655,1234.1270128248225,74693
2020-10-19,1245.83642578125,1254.5719867476403,1235.1029335150733,1249.92542383376,73734
2020-10-20,1241.3758544921875,1249.9719963055722,1235.9857958704451,1240.6323590128152,51810
2020-10-21,1242.86279296875,1258.2893606697564,1239.703107188667,1241.3759153785604,76661
2020-10-22,1233.337158203125,1251.1335160043373,1226.6925508643155,1237.8443013267186,158798
2020-10-23,1256.84912109375,1276.5970191953397,1234.173978262074,1239.3781075440731,143025
2020-10-26,1248.7174072265625,1257.0812213766171,1231.3393054247115,1249.9255590914995,47806
2020-10-27,1241.05078125,1249.879253190509,1233.244644182125,1236.0789802665413,224439
2020-10-28,1224.8341064453125,1246.0224808256662,1203.2740977479086,1237.8909949141362,177457
2020-10-29,1207.7347412109375,1221.953270650059,1203.4599255536396,1210.9409380350282,286045
2020-10-30,1205.17919921875,1226.6928117494738,1201.60136787278,1209.9186714849372,38534
2020-11-02,1207.27001953125,1226.6926762603352,1199.696098879679,1209.9650488567852,194552
2020-11-03,1176.1845703125,1216.3308311480228,1172.3279001524372,1209.9650622262966,279604
2020-11-04,1177.857177734375,1197.233435675109,1170.9338444276434,1180.1804591717314,159282
2020-11-05,1199.0457763671875,1203.4600119321897,1177.81100270595,1184.873756921654,51937
2020-11-06,1189.520263671875,1208.0136092094472,1187.6616382598877,1208.0136092094472,201372
2020-11-09,1202.158935546875,1206.2014232700808,1187.6616795180526,1198.4881956072793,107173
2020-11-10,1200.3931884765625,1207.130705659682,1189.102129743564,1207.0843080888324,225620
2020-11-11,1194.3526611328125,1206.898382839844,1184.8737167752085,1204.3892838750355,138462
2020-11-12,1213.078369140625,1225.7635107996716,1197.884128446381,1198.6276240190678,245795
2020-11-13,1208.9432373046875,1221.2101228473932,1207.1775200143604,1212.7068866809275,127037
2020-11-14,1218.2359619140625,1220.1874957688842,1212.5671775009198,1217.3995578501433,18763
2020-11-17,1264.1441650390625,1273.1584532364739,1222.929054285108,1222.929054285108,514752
2020-11-18,1261.0772705078125,1279.5706149964822,1255.9660509147448,1273.1583350005183,159255
2020-11-19,1285.1265869140625,1293.438838366603,1255.2866656193075,1269.2492962327115,216180
2020-11-20,1297.1280517578125,1307.0747311416371,1265.5135839206278,1286.2941575311324,244030
2020-11-23,1353.399169921875,1363.5793398498715,1298.2022482132338,1307.4950892067159,466959
2020-11-24,1343.45263671875,1374.2266394855683,1328.0890641052254,1371.8917431000104,155863
2020-11-25,1381.74462890625,1399.723327060504,1334.112753276797,1344.9000177727846,640300
2020-11-26,1381.8380126953125,1391.5978310749233,1359.8899932119161,1391.5978310749233,153673
2020-11-27,1349.7098388671875,1381.2309309975612,1341.77119344176,1381.2309309975612,64131
2020-12-01,1354.56640625,1373.8526680698278,1341.8178525719047,1348.6357938088588,110134
2020-12-02,1361.5245361328125,1371.8914510762422,1331.4977522043837,1354.2396153571112,102564
2020-12-03,1350.1302490234375,1371.0041965975433,1345.8340631572014,1355.267020256862,48322
2020-12-04,1366.4278564453125,1372.9188215970455,1346.4411242679637,1356.1075707203472,77127
2020-12-07,1359.0960693359375,1382.258280724483,1341.39760519631,1372.545091625784,201898
2020-12-08,1367.1280517578125,1381.3241707216391,1360.9172069579251,1363.5789650125714,82535
2020-12-09,1373.2457275390625,1386.9282410691744,1365.4471976048033,1368.2023293152738,313925
2020-12-10,1405.3740234375,1423.959819999916,1361.9449540971818,1373.245828908748,605787
2020-12-11,1400.0968017578125,1423.3523851835903,1377.4483140014463,1416.8146773776289,146974
2020-12-14,1410.043701171875,1431.7582340761612,1391.5980226832878,1406.121121476474,240597
2020-12-15,1409.7166748046875,1417.7486933486884,1396.2676525403751,1410.2770269805794,152371
2020-12-16,1409.669921875,1436.4278496788613,1396.3143867363199,1409.3430592752936,102512
2020-12-17,1409.8101806640625,1431.38459653299,1405.6073679360145,1414.4799725841156,68814
2020-12-18,1495.360595703125,1516.7482633513596,1396.3143874282168,1410.930743463624,741937
2020-12-21,1576.3814697265625,1636.294916556296,1503.9063295575202,1511.5647418968747,1699343
